1744296023041072896, 1, 2/24, O
1744296023041364992, 0, 2/24, O
1744296023041656576, 0, 2/24, O
1744296023041948416, 1, 2/17, O
1744296023042243584, 1, 2/24, O
1744296023042535424, 0, 2/24, O
1744296023042827520, 0, 2/24, O
1744296023043119616, 0, 2/24, O
1744296023043411200, 0, 2/24, O
1744296023043703040, 0, 2/21, O
1744296023043997952, 0, 2/23, O
1744296023044290304, 0, 2/24, O
1744296023044582144, 1, 2/24, O
1744296023044873984, 0, 2/24, O
1744296023045166336, 1, 2/22, O
1744296023045460224, 1, 2/23, O
1744296023045752832, 0, 1/19, O
1744296023046061568, 1, 2/22, O
1744296023046355456, 1, 2/24, O
1744296023046647296, 0, 2/24, O
1744296023046938880, 1, 2/24, O
1744296023047231488, 0, 2/21, O
1744296023047525888, 1, 1/24, O
1744296023047817216, 1, 2/24, O
1744296023048109312, 0, 1/24, O
1744296023048401152, 1, 1/24, O
1744296023048695040, 1, 2/20, O
1744296023048989184, 0, 2/24, O
1744296023049282048, 1, 2/24, O
1744296023049574400, 1, 2/24, O
1744296023049865984, 1, 3/20, O
1744296023050159872, 1, 2/24, O
1744296023050451968, 1, 2/20, O
1744296023050746624, 1, 2/24, O
1744296023051038976, 0, 2/24, O
1744296023051331072, 1, 2/24, O
1744296023051622912, 1, 2/24, O
1744296023051914240, 1, 2/24, O
1744296023052205568, 1, 2/21, O
1744296023052500224, 0, 2/24, O
1744296023052792832, 1, 2/24, O
1744296023053084416, 1, 2/24, O
1744296023053376256, 0, 2/24, O
1744296023053668096, 0, 2/24, O
1744296023054025984, 1, 2/18, O
1744296023054323456, 0, 2/24, O
1744296023054616064, 1, 2/24, O
1744296023054907904, 0, 2/24, O
1744296023055199744, 1, 2/24, O
1744296023055491328, 0, 2/24, O
1744296023055783424, 0, 2/21, O
1744296023056078080, 0, 2/24, O
1744296023056369920, 0, 2/24, O
1744296023056662272, 1, 2/24, O
1744296023056953600, 1, 2/24, O
1744296023057245184, 0, 2/24, O
1744296023057536512, 0, 2/20, O
1744296023057831424, 1, 2/20, O
1744296023058103040, 0, 2/23, O
1744296023058395392, 0, 2/24, O
1744296023058687232, 0, 2/24, O
1744296023058983168, 1, 2/24, O
1744296023059274752, 1, 2/20, O
1744296023059569408, 0, 1/25, O
1744296023059861504, 1, 1/24, O
1744296023060152832, 1, 2/24, O
1744296023060446720, 1, 2/23, O
1744296023060738816, 0, 2/25, O
1744296023061030656, 0, 2/20, O
1744296023061326848, 0, 2/24, O
1744296023061620992, 0, 2/24, O
1744296023061913344, 1, 3/14, O
1744296023062216192, 0, 2/24, O
1744296023062515712, 1, 1/24, O
1744296023062809344, 1, 2/20, O
1744296023063104256, 1, 2/24, O
1744296023063396352, 1, 2/24, O
1744296023063688192, 0, 2/24, O
1744296023063980288, 1, 2/24, O
1744296023064272128, 0, 2/24, O
1744296023064563712, 0, 2/20, O
1744296023064859136, 1, 2/24, O
1744296023065150976, 0, 2/24, O
1744296023065442816, 0, 2/24, O
1744296023065734912, 0, 2/21, O
1744296023066018560, 0, 2/24, O
1744296023066310656, 1, 2/20, O
1744296023066605824, 1, 2/24, O
1744296023066897664, 1, 2/24, O
1744296023067189760, 1, 2/24, O
1744296023067481600, 1, 2/24, O
1744296023067773952, 1, 2/22, O
1744296023068075776, 1, 2/20, O
1744296023068372480, 0, 2/24, O
1744296023068664576, 1, 1/23, O
1744296023068956672, 0, 2/24, O
1744296023069249024, 1, 2/24, O
