1744271412886757632, 1744271412886946304, 1/15, O
1744271412886946304, 1744271412887132672, 1/18, O
1744271412887132672, 1744271412887318784, 1/19, O
1744271412887318784, 1744271412887504896, 1/18, O
1744271412887504896, 1744271412887690752, 1/19, O
1744271412887690752, 1744271412887876352, 1/18, O
1744271412887876352, 1744271412888062208, 1/18, O
1744271412888062208, 1744271412888248064, 1/19, O
1744271412888248064, 1744271412888433920, 1/18, O
1744271412888433920, 1744271412888623616, 1/15, O
1744271412888623616, 1744271412888809728, 1/18, O
1744271412888809728, 1744271412889000960, 1/10, O
1744271412889000960, 1744271412889197056, 1/18, O
1744271412889197056, 1744271412889384192, 1/19, O
1744271412889384192, 1744271412889571328, 1/18, O
1744271412889571328, 1744271412889757952, 1/18, O
1744271412889757952, 1744271412889943808, 1/19, O
1744271412889943808, 1744271412890129664, 1/18, O
1744271412890129664, 1744271412890319104, 1/15, O
1744271412890319104, 1744271412890505216, 1/18, O
1744271412890505216, 1744271412890691584, 1/19, O
1744271412890691584, 1744271412890877440, 1/18, O
1744271412890877440, 1744271412891063296, 1/19, O
1744271412891063296, 1744271412891249664, 1/18, O
1744271412891249664, 1744271412891435776, 1/18, O
1744271412891435776, 1744271412891621632, 1/19, O
1744271412891621632, 1744271412891807488, 1/18, O
1744271412891807488, 1744271412891997184, 1/15, O
1744271412891997184, 1744271412892183552, 0/18, X
1744271412892183552, 1744271412892369408, 1/18, O
1744271412892369408, 1744271412892555264, 1/19, O
1744271412892555264, 1744271412892741120, 1/18, O
1744271412892741120, 1744271412892942848, 1/19, O
1744271412892942848, 1744271412893129728, 1/18, O
1744271412893129728, 1744271412893315840, 1/18, O
1744271412893315840, 1744271412893501440, 1/19, O
1744271412893501440, 1744271412893690112, 1/15, O
1744271412893690112, 1744271412893876736, 1/18, O
1744271412893876736, 1744271412894062592, 1/18, O
1744271412894062592, 1744271412894248448, 1/19, O
1744271412894248448, 1744271412894434560, 1/18, O
1744271412894434560, 1744271412894620416, 1/19, O
1744271412894620416, 1744271412894838528, 1/18, O
1744271412894838528, 1744271412895024896, 1/18, O
1744271412895024896, 1744271412895210752, 1/19, O
1744271412895210752, 1744271412895397888, 1/17, O
1744271412895397888, 1744271412895585792, 1/16, O
1744271412895585792, 1744271412895772160, 1/18, O
1744271412895772160, 1744271412895958016, 1/19, O
1744271412895958016, 1744271412896144128, 1/18, O
1744271412896144128, 1744271412896331520, 1/19, O
1744271412896331520, 1744271412896518144, 1/18, O
1744271412896518144, 1744271412896704512, 1/18, O
1744271412896704512, 1744271412896890368, 1/19, O
1744271412896890368, 1744271412897079296, 1/9, O
1744271412897079296, 1744271412897268992, 1/14, O
1744271412897268992, 1744271412897455360, 1/19, O
1744271412897455360, 1744271412897641472, 1/18, O
1744271412897641472, 1744271412897827328, 1/19, O
1744271412897827328, 1744271412898013184, 1/18, O
1744271412898013184, 1744271412898199040, 1/18, O
1744271412898199040, 1744271412898385152, 1/19, O
1744271412898385152, 1744271412898572544, 1/18, O
1744271412898572544, 1744271412898760448, 1/19, O
1744271412898760448, 1744271412898951680, 1/14, O
1744271412898951680, 1744271412899138816, 1/19, O
1744271412899138816, 1744271412899326720, 1/18, O
1744271412899326720, 1744271412899513600, 1/18, O
1744271412899513600, 1744271412899702016, 1/19, O
1744271412899702016, 1744271412899889664, 1/18, O
1744271412899889664, 1744271412900077056, 1/18, O
1744271412900077056, 1744271412900263680, 1/19, O
1744271412900263680, 1744271412900450048, 1/18, O
1744271412900450048, 1744271412900640256, 1/15, O
1744271412900640256, 1744271412900832000, 1/18, O
1744271412900832000, 1744271412901019904, 2/15, O
1744271412901019904, 1744271412901208832, 1/18, O
1744271412901208832, 1744271412901396480, 1/19, O
1744271412901396480, 1744271412901583360, 1/18, O
1744271412901583360, 1744271412901771264, 1/18, O
1744271412901771264, 1744271412901958144, 1/19, O
1744271412901958144, 1744271412902145280, 1/18, O
1744271412902145280, 1744271412902331648, 1/19, O
1744271412902331648, 1744271412902522112, 1/14, O
1744271412902522112, 1744271412902709504, 1/19, O
1744271412902709504, 1744271412902896640, 1/18, O
1744271412902896640, 1744271412903083264, 1/19, O
1744271412903083264, 1744271412903269376, 1/18, O
1744271412903269376, 1744271412903455488, 1/18, O
1744271412903455488, 1744271412903642112, 1/19, O
1744271412903642112, 1744271412903829504, 1/18, O
1744271412903829504, 1744271412904015616, 1/18, O
1744271412904015616, 1744271412904205312, 1/15, O
1744271412904205312, 1744271412904392192, 1/18, O
1744271412904392192, 1744271412904579840, 1/19, O
1744271412904579840, 1744271412904766208, 1/18, O
1744271412904766208, 1744271412905011968, 1/16, O
1744271412905011968, 1744271412905201408, 1/19, O
1744271412905201408, 1744271412905389056, 1/18, O
1744271412905389056, 1744271412905576704, 2/16, O
1744271412905576704, 1744271412905764608, 1/18, O
1744271412905764608, 1744271412905954560, 1/15, O
1744271412905954560, 1744271412906142464, 1/18, O
1744271412906142464, 1744271412906329856, 1/18, O
1744271412906329856, 1744271412906518016, 1/19, O
1744271412906518016, 1744271412906705152, 1/18, O
1744271412906705152, 1744271412906893056, 1/18, O
1744271412906893056, 1744271412907080704, 1/19, O
1744271412907080704, 1744271412907267584, 1/18, O
1744271412907267584, 1744271412907454720, 1/19, O
1744271412907454720, 1744271412907644416, 1/14, O
1744271412907644416, 1744271412907830784, 1/18, O
1744271412907830784, 1744271412908016640, 1/18, O
1744271412908016640, 1744271412908203264, 1/19, O
1744271412908203264, 1744271412908390144, 1/18, O
1744271412908390144, 1744271412908576768, 1/19, O
1744271412908576768, 1744271412908762880, 1/18, O
1744271412908762880, 1744271412908952832, 1/17, O
1744271412908952832, 1744271412909141248, 1/18, O
1744271412909141248, 1744271412909330432, 1/15, O
1744271412909330432, 1744271412909517568, 1/18, O
1744271412909517568, 1744271412909704192, 1/18, O
1744271412909704192, 1744271412909891072, 1/18, O
1744271412909891072, 1744271412910077696, 1/19, O
1744271412910077696, 1744271412910264064, 1/18, O
1744271412910264064, 1744271412910450432, 1/19, O
1744271412910450432, 1744271412910636800, 1/18, O
1744271412910636800, 1744271412910822656, 1/18, O
1744271412910822656, 1744271412911011328, 1/18, O
1744271412911011328, 1744271412911201024, 1/16, O
1744271412911201024, 1744271412911388416, 1/18, O
1744271412911388416, 1744271412911575040, 1/19, O
1744271412911575040, 1744271412911760640, 1/18, O
1744271412911760640, 1744271412911947520, 1/18, O
1744271412911947520, 1744271412912133888, 1/18, O
1744271412912133888, 1744271412912321024, 1/19, O
1744271412912321024, 1744271412912508160, 1/18, O
1744271412912508160, 1744271412912696320, 1/19, O
1744271412912696320, 1744271412912886272, 1/15, O
1744271412912886272, 1744271412913081088, 1/6, O
1744271412913081088, 1744271412913272320, 1/18, O
